,Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Number of vacation days,Employment status,Main language at work,Company size,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
694,25/11/2020 20:34:33,31.0,Female,Ulm,QA Engineer,8,3,Middle,Java,45000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
695,25/11/2020 20:41:13,43.0,Male,Stuttgart,SAP Consultant,20,15,Senior,SAP / ABAP,82000.0,12000,32,Full-time employee,German,1000+,No,0.0,0
696,25/11/2020 20:42:52,38.0,Male,Berlin,Data Scientist,15,2,Head,Python,100000.0,120000,27,Full-time employee,English,101-1000,No,25.0,0
697,25/11/2020 20:47:48,35.0,Male,Munich,DevOps,17,5,Lead,Kubrrnetes,72000.0,8000,30,Full-time employee,English,1000+,No,8.0,0
700,25/11/2020 20:52:51,32.0,Male,Berlin,DevOps,10,1,Middle,python,62000.0,0,30,Full-time employee,English,101-1000,No,30.0,0
703,25/11/2020 21:19:54,37.0,Male,Berlin,Mobile Developer,17,1,Senior,Swift,77000.0,500,28,Full-time employee,English,1000+,No,0.0,500
705,25/11/2020 21:48:49,29.0,Male,Berlin,Mobile Developer,5,4,Senior,iOS,65000.0,0,27,Full-time employee,English,101-1000,No,0.0,0
706,25/11/2020 22:05:13,41.0,Male,Berlin,Software Engineer,18,3,Senior,JavaScript,120000.0,0,30,Self-employed (freelancer),English,up to 10,No,0.0,0
707,25/11/2020 22:11:45,38.0,Male,Stuttgart ,Backend Developer,4,2,Middle,PHP,43000.0,0,30,Full-time employee,English,up to 10,No,30.0,0
709,25/11/2020 22:40:29,29.0,Male,Düsseldorf,Frontend Developer,6,6,Middle,TypeScript,55000.0,0,30,Full-time employee,German,11-50,No,0.0,0
710,25/11/2020 23:01:28,35.0,Male,Berlin,QA Engineer,12,3,Senior,JS,63000.0,0,30,Full-time employee,English,101-1000,Yes,30.0,0
711,25/11/2020 23:03:43,41.0,Male,Munich,Software Engineer,19,5,Senior,Java,75000.0,0,27,Full-time employee,English,101-1000,No,0.0,0
712,25/11/2020 23:04:36,29.0,Male,Barcelona,Data Scientist,0,0,Junior,Python,22000.0,2000,22,Full-time employee,English,51-100,No,0.0,0
713,25/11/2020 23:08:40,26.0,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,65000.0,77000,30,Full-time employee,German,up to 10,No,0.0,0
715,25/11/2020 23:30:07,30.0,Male,Berlin,Data Engineer,6,1,Middle,Python,65000.0,1000,27,Full-time employee,English,1000+,No,0.0,600
716,25/11/2020 23:32:29,26.0,Male,London,DevOps,3,0,Middle,"networking, linux, automation, cloud",37000.0,0,25,Full-time employee,English,51-100,No,0.0,0
717,25/11/2020 23:42:47,35.0,Female,Munich,Backend Developer,4,4,Middle,PHP,51000.0,4000,30,Full-time employee,German,101-1000,No,0.0,0
718,25/11/2020 23:51:01,47.0,Male,Bölingen,Software Engineer,25,15,"no idea, there are no ranges in the firm ",java,70000.0,depends,30,Full-time employee,German,11-50,No,0.0,0
720,26/11/2020 00:00:46,44.0,Male,Kyiv,Business Analyst,15,0,Head,UML,60000.0,0,30,Self-employed (freelancer),English,101-1000,No,0.0,0
722,26/11/2020 00:16:00,32.0,Male,Berlin,Frontend Developer,13,2,Senior,JavaScript,70000.0,1000,25,Full-time employee,English,11-50,No,0.0,0
723,26/11/2020 04:00:49,33.0,Male,Dusseldorf,Data Scientist,2,2,Lead,Spark,70000.0,6000,25,Full-time employee,English,1000+,No,0.0,1000
724,26/11/2020 04:00:56,32.0,Male,Munich,Frontend Developer,8,2,Senior,"Js, reactJS ",65000.0,5000,30,Full-time employee,English,1000+,No,30.0,0
725,26/11/2020 04:18:01,26.0,Male,Berlin,Data Engineer,4,3,Middle,Scala,51000.0,0,30,Full-time employee,English,11-50,No,0.0,0
727,26/11/2020 05:53:19,22.0,Diverse,Cologne,QA Engineer,1,1,Head,Cobol,159000.0,35000,45,Full-time employee,German,1000+,No,30.0,2000
728,26/11/2020 06:01:22,43.0,Male,Berlin,Engineering Manager,20,20,Lead,Java,105000.0,0,30,Full-time employee,English,1000+,No,0.0,0
729,26/11/2020 07:06:11,33.0,Male,Munich,Software Engineer,11,6,Senior,JavaScript ,80000.0,0,30,Full-time employee,English,101-1000,No,0.0,600
730,26/11/2020 07:14:19,35.0,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,50000.0,0,30,Full-time employee,German,51-100,No,0.0,0
731,26/11/2020 08:04:52,28.0,Male,Munich,Frontend Developer,5,5,Middle,JavaScript,72000.0,0,28,Full-time employee,German,11-50,No,0.0,0
