,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
44,35.0,Male,Munich,Software Engineer,11,3,Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,5000,65000.0,No Response,29,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,2000
45,29.0,Male,Berlin,Software Engineer,5,3,Senior,Go,"Java / Scala, AWS, Docker",75000.0,0,58000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
46,66.0,Male,Munich,Software Engineer,40,4,Lead,ruby on rails,"Javascript / Typescript, Ruby, SQL",70000.0,0,50000.0,No Response,30,Full-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,0.0,0
47,39.0,Female,Berlin,Software Engineer,10,10,Senior,Java,"Javascript / Typescript, SQL",70500.0,1000,68000.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,500
48,28.0,Male,Munich,Backend Developer,5,4,Senior,Kotlin,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000.0,0,56000.0,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
49,34.0,Male,Munich,Frontend Developer,5,5,Senior,JavaScript/ES6,No Response,73500.0,0,70000.0,No Response,27,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
50,34.0,Male,Munich,Software Engineer,13,3,Lead,.NET,".NET, SQL",72000.0,72000,60000.0,60000,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,32.0,0
51,32.0,Male,Munich,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, Java / Scala",62000.0,0,60000.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
52,45.0,Male,Schleswig-Holstein,Software Engineer,26,18,Senior,C#,"C/C++, .NET, SQL",93000.0,10000,93000.0,11000,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
53,28.0,Male,Berlin,Software Engineer,3,2,Middle,Js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000.0,0,42000.0,No Response,22,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,24.0,0
